title,article,url,company,category,reporter,space_index,datetime,year,month,day,hour,minute
5個月過去⋯北市配發公費快篩!她酸:柯學家網路撥接?,"台北市自宣布8日起開放急救責任醫院、指定診所發放公費快篩,但其實高雄年初早就開始配置免費快篩;台灣基進前鎮、小港市議員參選人黃敬雅今(9)日在臉書狠酸「柯學家網路是不是撥接?」,批評台北市長柯文哲5個月後終於發現,作業都給你抄了還不會。北市8日起實施免費家用快篩試劑領用方案,北市衛生局在這兩天陸續撥發公費家用快篩試劑至19家急救責任醫院及312家指定診所,經醫師評估具COVID-19臨床條件或評估旅遊史、群聚史、接觸史或高風險職業史等符合需篩檢之民眾,不限戶籍與國籍,無需掛號、看診即可發放。台灣基進前鎮、小港市議員參選人黃敬雅在臉書表示,高雄從1月23日起就開始在基層1111家診所佈建免費快篩,高雄市民只要有呼吸道症狀就診就可以拿到。結果柯文哲市長整天有空到處大噴政治口水,沒空去效仿其他縣市防疫政策,過了五個月後終於發現了是嗎?作業都給你抄了你還不會。時間回溯到農曆年前,當時高雄港爆發群聚感染,市長陳其邁火速下令與1111間基層診所合作,有呼吸道症狀的民眾憑健保卡就醫,就可以領取免費的公費快篩,另外對於部分學校或者安養機構等高風險場域,也由市府提供公費快篩。",https://www.setn.com/News.aspx?NewsID=1128637&utm_campaign=viewallnews,三立,,綜合,"[118, 248, 381]",2022-06-09 22:54,2022,6,9,22,54
農委會主委陳吉仲快篩陽性確診 已打3劑疫苗,"國內疫情嚴峻,今(9)日傳出又一政府官員確診,農委會聲明表示,主委陳吉仲快篩陽性確診。農委會發布聲明,主委陳吉仲於今日下午得知同住家人快篩陽性,依照防疫指引返回住所自我隔離,並經快篩結果呈陽性,晚間透過視訊診療判定為確診,目前進行居家照護。此外,農委會發言人陳淑蓉也表示,陳吉仲主委已完成3劑疫苗接種,目前健康狀況良好,居家照護期間由3位副主委持續推動相關業務,陳吉仲主委也會透過電話、視訊方式,掌握各項工作推動進度。",https://www.setn.com/News.aspx?NewsID=1128632&utm_campaign=viewallnews,三立,,文俐心,"[43, 120]",2022-06-09 22:37,2022,6,9,22,37
立法院副院長蔡其昌確診 內疚道歉女兒:害妳不能參加畢典,"立法院副院長蔡其昌今(9)日深夜透過臉書宣布確診,緊急取消未來一週的行程,在家進行隔離,並向寶貝女兒喊話「很抱歉,害妳不能參加明天的畢業典禮了」。「跟各位鄉親朋友說聲不好意思,我確診了」,蔡其昌9日深夜在臉書透露,今晚回到家後,得知團隊有同仁快篩陽性,他也馬上進行快篩,結果呈陽性,目前沒有任何症狀,請大家放心。蔡其昌表示,他已經取消未來一週的行程,在家進行隔離,一切遵循防疫規範辦理,也特別提醒大家,面對疫情需謹慎,但不需過度恐慌,「持續落實戴口罩、勤洗手,並接種疫苗提升保護力,我們一起平安度過考驗!」看更多新冠肺炎(COVID-19)疫情最新報導:https://bit.ly/37gsay1★三立新聞網提醒您:防範新冠肺炎,外出時應配戴口罩、勤洗手,並遵循疾管署最新防疫指引。",https://www.setn.com/News.aspx?NewsID=1128628&utm_campaign=viewallnews,三立,,鄭餘蓉,"[73, 156, 253, 256, 272, 277, 299, 300, 309]",2022-06-09 22:11,2022,6,9,22,11
打高端也可免隔離!菲律賓認可「台灣小黃卡」 外交部回應,"菲律賓跨部門抗疫工作小組(IATF)最新公文指出,無論台灣人入境菲國出示何種新冠肺炎(COVID-19)疫苗證明,將一律採納通過,這項好消息代表儘管民眾施打的是尚未獲得WHO認證的高端疫苗,也可以合法進出菲律賓。對此外交部也正面回應,針對菲國的認可表示歡迎與肯定,希望兩國合作可以持續升溫。外交部發言人歐江安今(9)日晚間針對菲律賓政府採認台灣「數位新冠病毒健康證明」及接種高端疫苗國人可免隔離入境菲國一事做出回應。歐江安指出,菲律賓「新興傳染病管理跨部會工作小組」(IATF-MEID)於今年3月10日決議接受並承認我國核發的「數位新冠病毒健康證明」與「國際預防接種證明書」(簡稱黃皮書),該工作小組在6月7日再度致函菲國檢疫局(BureauofQuarantine,BOQ),重申該決議內容。對於菲國政府這項保障我國人權益及提升兩國旅行便利的決定,外交部表示歡迎與肯定。依據菲國檢疫最新相關規定,接種包括我國高端疫苗在內的3劑武漢肺炎疫苗國人,入境菲律賓時無須出示入境前48小時內核酸檢測,或24小時內實驗室抗原檢測的陰性證明,也不需要接受隔離檢疫。台菲相互採認疫苗接種證明除了有助於雙邊人員往來外,也有助於兩國推動疫後經貿復甦。外交部期盼台菲雙方持續就醫療衛生等相關議題進行實質合作,共同促進兩國人民的福祉與便利。看更多新冠肺炎(COVID-19)疫情最新報導:https://bit.ly/37gsay1★三立新聞網提醒您:防範新冠肺炎,外出時應配戴口罩、勤洗手,並遵循疾管署最新防疫指引。",https://www.setn.com/News.aspx?NewsID=1128624&utm_campaign=viewallnews,三立,,藍詩孟,"[145, 208, 322, 324, 335, 348, 477, 560, 563, 579, 584, 606, 607, 616]",2022-06-09 21:55,2022,6,9,21,55
總統府增1憲兵確診 張惇涵:近期與總統、副總統無接觸史,"新冠肺炎疫情未止,總統府發言人張惇涵今(9)日表示,總統府新增1名憲兵確診案例,該憲兵近期與總統、副總統及總統府、國安會等官員皆無接觸史。總統府發言人張惇涵9日指出,總統府新增1名憲兵確診案例,該名憲兵無匡列同寢密切接觸者,且近期與總統、副總統及總統府、國安會等官員皆無接觸史。張惇涵強調,總統府各項業務正常運作,並持續依照防疫指引,落實相關檢疫措施及防疫工作。看更多新冠肺炎(COVID-19)疫情最新報導:https://bit.ly/37gsay1★三立新聞網提醒您:防範新冠肺炎,外出時應配戴口罩、勤洗手,並遵循疾管署最新防疫指引。",https://www.setn.com/News.aspx?NewsID=1128592&utm_campaign=viewallnews,三立,,鄭餘蓉,"[69, 139, 181, 184, 200, 205, 227, 228, 237]",2022-06-09 20:32,2022,6,9,20,32
瓜地馬拉外交部次長:台灣瓜地馬拉邦誼堅若磐石,"中國官媒日前影射台灣友邦瓜地馬拉有意轉向中國,瓜地馬拉外交部次長芭蕾拉今(9)日在瓜地馬拉駐台使館舉辦的活動中,透過影片致詞強調,「瓜地馬拉與台灣外交邦誼穩固,在這60幾年歲月以來堅若磐石,彼此的關係越來越緊密。」中國官媒「環球時報」評論員顧莫中5月28日撰文指稱,中國外交部發言人日前罕見地公開替沒有邦交的瓜地馬拉抱不平,瓜國並透過管道表達有意與中國加強合作,引起台瓜邦誼鬆動的揣測。瓜地馬拉駐台大使館、中美洲經貿辦事處今日在台灣咖啡研究室舉辦「2022瓜地馬拉咖啡杯測記者會」。芭蕾拉(ShirleyAguilarBarrera)透過影片致詞時,特別主動重申台灣與瓜地馬拉邦誼穩固。芭蕾拉表示,瓜地馬拉與中華民國台灣的的外交邦誼穩固,在這60幾年的歲月以來堅若磐石,彼此的關係越來越緊密,邦交優勢讓雙邊的經貿往來更加繁榮,彼此享受高品質商品,也對兩國關係貢獻良多。芭蕾拉表示,瓜地馬拉與台灣是堅實的夥伴,在瓜地馬拉有一項傳統,就是喜歡跟好朋友一起喝杯香氣醇厚的好咖啡,今日就是與親愛的貴賓朋友們喝咖啡的好日子。芭蕾拉並細數瓜地馬拉咖啡的特色,她表示,瓜地馬拉擁有8大咖啡產區,每一顆咖啡豆都產自專業職人手工植栽。瓜國能產出獨特、高品質的咖啡豆,主要是因為境內擁有豐沛的天然資源,包括壯麗的活火山群、四季如春的氣候,以及多元豐富的森林植群。芭蕾拉指出,在台灣消費市場,「薇薇特南果區」及「安地瓜區」出產的咖啡相當受歡迎,每年瓜地馬拉咖啡外銷到台灣的出口量都穩步成長中,瓜國目前占台灣進口咖啡的第4名,台灣消費市場對瓜地馬拉咖啡的需求量,僅次於台灣對瓜地馬拉蔗糖的需求。芭蕾拉表示,近3年來,瓜國咖啡對台出口量已增加近40%,瓜國堅信台灣的咖啡市場還有龐大商機,因此她代表瓜地馬拉敞開雙臂歡迎台灣朋友前往商務考察,相關單位將協助必要的手續文件,讓台灣投資者感到賓至如歸。今日出席活動的包括瓜地馬拉共和國駐台大使葛梅斯(WillyAlbertoGomezTirado)、中美洲經貿辦事處主任廖鴻達、台灣咖啡協會副理事長吳怡玲、台灣咖啡研究室創辦人林哲豪等。負責瓜國咖啡全球行銷的瓜地馬拉全國咖啡協會(Anacafe)理事長巴里歐斯(JuanLuisBarrios)也錄製影片線上致詞。",https://www.setn.com/News.aspx?NewsID=1128464&utm_campaign=viewallnews,三立,,,"[107, 193, 252, 259, 293, 384, 457, 571, 685, 785, 814, 821, 826, 919, 923]",2022-06-09 18:35,2022,6,9,18,35
中國另類樂透!黃捷:舉報跟中共思想不符的人50獎金,"今年6月6日中國國家安全部公布《公民舉報危害國家安全行為獎勵辦法》,鼓勵民眾具名舉報「危害國家安全」行為,並依貢獻程度提供不同額度獎金,最高者可獲人民幣10萬元以上獎勵。但其實在2017年北京市國安局就實施《公民舉報間諜行為線索獎勵辦法》,舉報者最高可獲人民幣50萬元獎金。高雄市議員黃捷在《94要客訴》節目評論說,這種就是在路上行走的人,若是言論不符中共意識型態者,就被叫作「行走的五十萬」,很多小粉紅等著拿這個獎金。(請看節目16:00處,節目連結https://www.youtube.com/watch?v=QdlwXQIB2FY)黃捷進一步補充說,「他們就是2017現在北京試辦之後發現成效不錯,那今年想要擴展到全國,大家都變成一起來舉報國內的間諜,或者是這種策反的對象,那其實這是非常恐怖的,會變成人人自危,人人害怕彼此是間諜,然後互相舉報的狀態,北京那時候2017年實施一年之內就獲得了5000次的舉報,其實是非常頻繁,舉報的內容大概有3類,第一類呢?就是如果你是為境外提供科技情報的,這些人員都有可能被舉報。第二是外籍人士,如果你在國內有引用,就是國內的人士提供這個研究的資料,也可能被舉報。第3類是如果外籍人士在國內進到軍事相關的地方進行攝影或拍照,有可能就會被載你過去的那個司機所舉報。他們發現,最多真的是這3類。所以這種情況對台灣人來說,或者是說,對境外國家的人士來說是非常危險的。在中國境內,跟中共意識形態不相符的人員都有可能變成被舉報的對象。那我們擔心的是,這樣的結果就變成是人人監控。彼此那整個社會處在一種,大家都害怕彼此是間諜的狀況。那我相信,這樣的社會氛圍絕對不是我們樂見的。",https://www.setn.com/News.aspx?NewsID=1128541&utm_campaign=viewallnews,三立,,綜合,"[210, 270]",2022-06-09 18:17,2022,6,9,18,17
會見蔡總統 法友台副主席:助台反抗壓迫者,"台灣和歐洲關係近年來突飛猛進,這幾天同時有斯洛伐克和法國參議員訪團在台,歐洲議會7日更以474票贊成,60票反對,壓倒性通過「歐盟與印太地區之安全挑戰」報告案,視台灣為印太地區重要夥伴及民主盟友,這已經是歐洲議會今年第5度通過友台報告。總統府司儀:「恭請總統授勳。」頒贈大綬卿雲勳章,總統蔡英文向法國參議院友台小組副主席葛里歐致意,這不僅是法國國會一年內第3度訪台,法國參議院更在國際場合實質聲援台灣。總統蔡英文:「葛里歐副主席也致函世衛的譚德賽幹事長,重申法國304位參議員支持台參與WHA。」法國參議院友台小組副主席葛里歐:「這份崇高的榮譽讓我備感榮幸,也讓我更有義務在任何地方和各種情況下捍衛台灣,而且總統閣下,我向您保證我將幫助台灣反抗壓迫者,促進台灣的自由,對抗那些反對台灣自由的人,向那些忽視台灣人才的人們展示台灣的才華。」總統和法國訪團接見,同一時間另一組來自歐洲的朋友斯洛伐克訪團則是拜訪立法院。趁著立法院休會期間,訪團參觀議場,兩國國會更直接組成聯誼會。就在斯洛伐克法國訪團在台之際,歐洲議會7日更以474票贊成,60票反對,壓倒性通過「歐盟與印太地區之安全挑戰」報告案,報告中視台灣為印太地區重要夥伴及民主盟友,這已經是歐洲議會今年第五度通過友台報告。同一時間,我國立委也組團飛往丹麥參加民主聯盟基金會,9日開始舉行的哥本哈根民主峰會,總統蔡英文預計在峰會中以影片方式致詞,網站上直接寫著「中華民國台灣總統」,同一天,同樣受邀演講的還有烏克蘭總統澤倫斯基。不讓威權勢力崛起,歐洲表明立場,也讓台歐關係突飛猛進。",https://www.setn.com/News.aspx?NewsID=1128339&utm_campaign=viewallnews,三立,,莊惠琪、嚴俊強,"[118, 133, 201, 248, 368, 436, 536]",2022-06-09 18:14,2022,6,9,18,14
法參議院訪團拜訪蘇揆談文學、政治 馬里歐:團員心向台灣,"行政院長蘇貞昌今(9)下午接見法國參議院外交暨國防委員會副主席葛里歐(JoëlGuerriau)訪問團一行。蘇貞昌盛讚率團訪台的葛里歐不僅是政治家,更是知名童書作家,他也收到葛里歐的作品《女巫費姬可怕的秘密》。葛里歐則引述《小王子》書中的一句話:「看待事情必須要用心去看,因為重要的事物是眼睛看不到的」,希望大家知道每個團員的心都向著台灣,並由衷喜歡台灣。法國參議院外交暨國防委員會副主席、友台小組副主席葛里歐(JoëlGuerriau),率領跨黨派國會議員來台訪問,今(9)日早上總統蔡英文在府內親自接見,並頒贈葛里歐「大綬卿雲勳章」,感謝他對台法國會交流的貢獻。蘇貞昌下午也接葛里歐一行,蘇貞昌致詞時表示,台法關係深遠,在疫情之前,台灣民眾最喜歡去法國欣賞美麗的風景、品嘗美食、參觀博物館等。蘇貞昌表示,率團訪台的葛里歐不僅是政治家,更是知名童書作家,他也收到葛里歐的作品《女巫費姬可怕的秘密》;蘇貞昌對葛里歐能在政治生涯外,透過童書啟迪孩童追求自由、和平的感到敬佩。蘇貞昌並表示,台法兩國都重視文學、科技,也享有美景、美食,因為法國國會對台法關係的重視,台灣立法院之前也通過調降法國進口香檳關稅的法案,由20%降至10%。蘇貞昌表示,這是善的循環,期待彼此的良好互動,更多交流和互訪,希望雙方有更近一步對自由和平努力,在科技晶片方面互助合作,有利於兩國互利互惠。葛里歐則表示,他前幾天還在和前文化部長鄭麗君進行線上討論會,鄭麗君最近翻譯《小王子》一書,他並引述書中一句話:「看待事情必須要用心去看,因為重要的事物是眼睛看不到的」,希望大家知道每個團員的心都向著台灣,並由衷喜歡台灣。葛里歐並表示,法國參議院高票通過友台決議,代表希望台灣在國際組織獲得承認;他表示,我們的聲音並不足以讓情況改觀,但會持續支持台灣。葛里歐表示,法國總統馬克宏剛連任成功,而眾議院也即將改選,在法國國內有這麼多政治活動的時候,訪問團堅持來台灣,就是為了表達,法國多麼重視台灣。葛里歐說,台法有許多共同點,雙方都是民主國家、人民可以自由表達意見,民主國家之間應該團結與共。他表示,台法經貿是彼此共享價值之一,還包括想要共同捍衛民主自由價值決心,台法持續地朝同一個方向前進。",https://www.setn.com/News.aspx?NewsID=1128513&utm_campaign=viewallnews,三立,,盧素梅,"[39, 178, 210, 283, 436, 584, 694, 830]",2022-06-09 17:39,2022,6,9,17,39
魔眼+劍翔!于北辰分析國軍「戰術型無人機」2大主力,"在俄烏戰中屢建奇功的無人機,台灣國軍也十分重視,現在陸軍就預計投入7.7億元採購50套戰術無人機,在今年下半年就可以陸續交裝,備役少將于北辰在《94要客訴》節目中指出,應該就是中科院研製的「魔眼」無人機,魔眼也根據需求分大中小三種尺寸,大的提供給營級以上部隊使用,飛行距離30-60公里,滯空時間也有60分鐘以上,中的大約20分鐘,小的可能15分鐘,另外「魔眼」無人機採旋翼,可以針對不同的氣候、風速、空層與偵查目的,來決定使用哪種尺寸,在沿岸進行偵搜。于北辰也補充,另外一款「劍翔」偵打一體無人機,就類似「彈簧刀」自殺攻擊機,分為攻擊跟誘標兩種,先發射誘標無人機出去吸引敵方雷達和防空飛彈啟動,進而透露相關位置,這時候再派攻擊無人機就可以精準命中目標,「旋翼機拿來偵察目標,確定後派定翼機攻擊,構成國軍戰術用無人機2大主力。」(請看節目09:00處:https://youtu.be/QdlwXQIB2FY)",https://www.setn.com/News.aspx?NewsID=1128511&utm_campaign=viewallnews,三立,,綜合,"[49, 227]",2022-06-09 17:37,2022,6,9,17,37
